,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,emotion_gender
126,,-644.3038,42.856995,-19.486134,2.9414368,-11.870392,-9.896319,-12.77897,-12.251508,-10.794143,5.1487603,-10.787362,-5.7935066,-11.269864,1.6134223,-13.567642,-3.4886959,-3.0689507,8.098863,12.949936,18.494972,18.840448,12.549007,4.6112247,2.117643,-4.359049,0.14840706,0.1516277,-0.78322715,-5.792894,-2.6039681,-4.8560967,7.307598,3.0517066,2.337627,0.7025011,5.450789,2.4787169,0.2809321,6.2190895,11.973049,fear_female
425,,-449.61206,28.110905,-26.221031,4.599033,-13.656069,-11.734277,-13.200651,-5.3698792,-25.514242,1.4680055,-12.643635,-13.523821,-11.470844,-7.623345,-6.874293,-7.7949247,-8.70882,8.802763,0.7183257,12.74705,9.181965,12.8962965,2.7474282,1.236429,-8.528665,-2.6343226,2.2660809,4.034128,-5.720139,-4.650879,-1.1023637,5.301353,3.0434039,-2.9707196,-6.1499114,1.2459562,2.2010314,-1.5473481,-0.59927475,8.831827,angry_female
116,,-584.1703,34.36676,-35.799793,14.250777,-14.052576,-13.122981,-7.1216674,-13.976906,-12.702518,6.6248846,-11.975769,-3.4258327,-8.676961,-5.631861,-11.817391,-6.1499987,-5.775512,3.5815594,8.19146,13.482225,17.086027,10.734802,5.0903955,-0.04335934,-5.196705,1.4249237,3.6974013,2.2918668,-2.6680462,-3.0735698,-0.38698897,5.8190074,3.091325,-1.7376674,-0.09894234,4.468626,2.4951236,0.25870076,3.846047,10.69591,angry_female
1508,,-416.56375,14.411343,-26.46163,-4.2550826,-10.331932,-5.987499,-9.048138,-4.558359,-14.812639,0.3969546,-9.413792,-2.527884,0.41571346,11.351825,10.820417,11.654,3.7275345,1.8448737,-0.7857167,1.660824,0.4466212,-4.4382215,-6.5377116,0.12766229,0.15733702,2.6979032,1.2845625,2.8100276,3.156022,0.522704,-2.1245596,0.41708487,1.0480157,-1.1286303,0.22524561,-0.57740706,0.89250904,0.7095161,2.1585453,0.0037554407,happy_female
2239,,-542.39044,58.53818,-18.411184,15.147844,3.2080946,6.944354,-5.3238616,-9.375724,-14.549903,9.96443,-2.1517763,-2.7674568,4.57455,1.5861472,-2.6032145,6.991284,-1.7314842,-2.041674,-1.4394858,0.2958012,-2.7156808,3.07196,-3.4258494,2.8628607,1.4014713,0.38553923,1.0277531,2.4342074,-2.2883074,-0.97580177,-1.0717597,0.16137075,0.95208424,0.023847815,-1.2576954,-0.62312716,2.420892,0.71182764,1.1414716,0.15563668,sad_male
1006,,-485.2307,57.359287,-17.268383,10.399578,1.7271981,-4.1099625,-11.369706,-6.210698,-14.475741,-1.3546084,-5.04335,-3.8661695,-4.474986,-3.1657844,-6.3719106,0.30981475,-11.177393,-0.88836455,-5.0510864,-4.173921,-9.008004,-4.1011825,-3.995603,-5.026445,-4.716395,-2.5261054,-6.9036517,-1.3463877,-2.9272616,-3.1346977,0.4372722,2.456471,0.6196564,1.9862502,-1.8568558,-2.094709,1.0439479,4.153587,8.771739,13.206274,fear_male
1064,,-581.47375,43.365128,-19.353874,14.792002,-11.855986,-2.9375005,-7.2678056,-2.0069919,-6.774003,-0.22724485,-7.205272,-1.9466976,-5.774341,3.9545379,-3.8749785,4.0268354,-2.1902094,0.8443125,-1.9227353,3.074173,-0.17718047,-0.4854032,-2.1823766,0.22823134,0.4094708,1.1536794,3.9020214,2.9294834,4.2715917,4.9833307,3.9307802,3.7654974,0.71812856,2.0775912,2.4416304,3.7613509,1.0601928,1.8935283,1.6744957,1.1015428,surprised_female
170,,-559.2977,31.098309,-16.803442,10.460001,-3.6683912,-6.7016096,-4.0045958,-9.683237,-11.368099,2.5387793,-8.549189,-3.2229557,-4.4971404,5.3154097,1.6513232,6.9498286,5.1169157,16.905756,13.769888,23.566715,12.757834,12.072335,2.1074092,1.8894061,1.0628029,5.525057,2.2703428,1.52156,-1.0961041,0.123351894,1.7085844,4.752542,3.4377983,0.7851861,2.0992718,6.190331,3.5535018,2.7546306,4.5206943,9.954104,fear_female
2172,,-621.44104,71.35809,-5.3524637,19.37543,8.3838825,0.24051248,-0.55332536,2.375398,-5.8397593,4.2908316,-4.1875596,2.8979154,-2.9862912,1.1538286,-1.226819,2.3355427,-1.2496965,-1.0610869,0.102456905,1.6413887,-3.295435,1.2168074,-1.1877849,2.1416795,-0.51066005,4.0031867,0.7235955,4.4861574,1.0731217,1.928213,1.4686027,0.49099877,0.59473,0.12522736,-0.110292874,0.5411372,0.23043424,0.2045962,-0.7048713,-1.9480419,sad_male
2401,,-685.952,69.138016,-0.67642397,13.016286,6.6743927,5.410463,-7.028907,-1.174829,-8.750574,-1.0767502,-0.08810961,-1.8046061,-5.0131006,0.17543344,-4.244177,3.2735736,-5.427499,-0.047155008,-3.1951036,-0.16264558,-2.7764728,-0.7547,-2.6580553,-2.1380844,-3.9518626,-1.1933155,-4.7806134,-0.58941174,0.18889847,-0.8897984,-1.9086002,-1.1746367,-1.5369288,-2.3706982,-2.9297974,-1.4006833,-0.88755375,0.398781,-0.72853196,0.09932598,calm_male
1846,,-588.30536,58.616592,-11.358235,10.129278,-7.4428897,3.748349,-15.178856,-7.258273,-8.511866,-7.2761993,-2.210489,0.93698055,-8.897638,-0.82637703,-5.484435,-3.7960768,-2.8133209,-4.1233416,-7.7692075,0.62496716,-5.5203953,-3.3159165,-1.9090548,-3.5865684,-4.0524497,-2.1229002,-2.136503,-1.6503024,-0.5493016,-0.3219389,-1.5927889,-2.5406845,-1.4946282,-2.180217,-3.242232,-1.5576584,-4.547536,-3.7686422,0.30557618,2.9354439,surprised_male
552,,-402.04208,70.62904,-37.071674,18.459692,-4.814781,-4.173395,-24.54179,-10.891775,-21.822464,-9.688898,-2.3144238,-4.3205776,-6.403573,0.30565742,-12.230022,5.0378294,-6.2014933,-6.4165125,1.0496268,-4.2674875,-5.983416,-1.223561,-4.6391325,-2.6163073,-4.543914,-2.3576496,-1.5770527,-2.363854,-0.8929941,-0.919961,1.0659302,0.5396031,3.305202,3.253106,3.0438652,4.2356877,7.867024,8.600308,13.247239,16.027737,sad_male
1011,,-463.70145,60.06381,-25.744654,10.314075,4.596226,-9.52922,-17.214312,-7.7993693,-18.0887,-0.6372779,-4.426885,-7.537515,-5.605457,-2.5131357,-10.950869,2.9931273,-10.001864,-4.820955,-2.2806828,-4.263152,-8.849475,-3.519941,-4.828076,-5.9225216,-5.5788164,-2.4784982,-7.1618423,-3.0153184,-2.5005536,-3.448999,-0.43839929,-0.0927342,-1.1876047,-1.3402313,-0.190074,1.6827744,7.1349225,9.182276,12.354645,11.9139185,fear_male
1560,,-827.35724,48.060215,-8.178519,16.063103,-7.278876,-0.46571076,-13.183965,-4.9220276,-8.895294,-1.5346936,-8.154573,-0.53500074,-6.104537,1.8823105,-8.828035,0.9958052,-7.432566,0.60696167,-3.2450287,-3.4938781,-0.90559125,0.14274314,-2.327508,2.1898482,-1.7620325,-1.7994587,-0.95544195,-1.5717249,-0.086726114,0.21554711,-0.5616875,1.900308,2.2353957,5.562459,6.3948045,5.29906,2.8374522,0.5909561,-0.6593986,0.5001988,calm_female
1110,,-557.58716,31.749538,-18.145899,5.1850777,-9.408616,-5.112336,-11.277274,-13.3748455,-12.116919,-0.07602391,-10.790905,-3.8925734,-10.053127,1.7822237,-9.070735,-1.090308,-4.027019,-2.9066117,1.0817794,10.794165,7.9819207,12.22077,3.631158,2.3961327,-2.9747336,0.5998016,-0.10517286,0.22420967,-2.5408726,-3.1677878,-1.7540565,-0.4929236,-1.8275899,-3.7441366,-2.2268767,-0.64146405,-0.8418115,-0.8361742,-0.16762911,1.4260762,fear_female
1274,,-618.037,70.06157,6.875079,18.844917,2.705341,0.51575124,-8.683404,-12.244792,-7.029105,2.507601,-10.275251,0.45841062,-3.2163134e-06,0.9112094,-2.2922451,1.7483357,-3.1588337,0.8091336,-0.26228014,-3.5181086,-4.370985,-0.6970559,-2.9838042,-2.0159955,-4.267787,0.5653328,-2.959742,2.6604567,0.9583046,3.808739,5.9532967,8.507234,8.335395,7.4089036,6.9814367,3.665429,2.4791198,3.1485868,3.249063,2.3146102,sad_female
